Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 117.0.0.0,,,2023-09-21 10:08:34,2023-09-21 10:09:34,59.338s,PASSED
,,,,,,,
Test Cases/Login-Signout/Login-Logout,Chrome 117.0.0.0,,,2023-09-21 10:08:34,2023-09-21 10:09:04,29.939s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-21 10:08:35,2023-09-21 10:08:36,1.834s,PASSED
"navigateToUrl(""https://delightful-stone-07bb55f0f.3.azurestaticapps.net/"")",Chrome 117.0.0.0,,,2023-09-21 10:08:36,2023-09-21 10:08:40,3.284s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-09-21 10:08:40,2023-09-21 10:08:40,0.131s,PASSED
"click(findTestObject(""Object Repository/Login/Page_FakeDoor/button_Sign In""))",Chrome 117.0.0.0,,,2023-09-21 10:08:40,2023-09-21 10:08:42,2.407s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_FakeDoor/input_User Name_username""), ""admin2"")",Chrome 117.0.0.0,,,2023-09-21 10:08:42,2023-09-21 10:08:48,5.781s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_FakeDoor/input_Password_password""), ""Lm1Albv1LteQ2KmNJoEiNQ=="")",Chrome 117.0.0.0,,,2023-09-21 10:08:48,2023-09-21 10:08:53,4.536s,PASSED
"click(findTestObject(""Object Repository/Login/Page_FakeDoor/button_Login""))",Chrome 117.0.0.0,,,2023-09-21 10:08:53,2023-09-21 10:08:55,2.391s,PASSED
"click(findTestObject(""Object Repository/Login/Page_FakeDoor/button_Overview_MuiButtonBase-root MuiIconB_eec332""))",Chrome 117.0.0.0,,,2023-09-21 10:08:55,2023-09-21 10:09:01,6.064s,PASSED
"click(findTestObject(""Object Repository/Login/Page_FakeDoor/span_Logout""))",Chrome 117.0.0.0,,,2023-09-21 10:09:01,2023-09-21 10:09:04,2.663s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-21 10:09:04,2023-09-21 10:09:04,0.662s,PASSED
,,,,,,,
Test Cases/Login-Signout/Signin-Signout,Chrome 117.0.0.0,,,2023-09-21 10:09:04,2023-09-21 10:09:34,29.242s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-21 10:09:05,2023-09-21 10:09:06,1.200s,PASSED
"navigateToUrl(""https://delightful-stone-07bb55f0f.3.azurestaticapps.net/"")",Chrome 117.0.0.0,,,2023-09-21 10:09:06,2023-09-21 10:09:09,3.226s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-09-21 10:09:09,2023-09-21 10:09:09,0.127s,PASSED
"click(findTestObject(""Object Repository/Signin/Page_FakeDoor/button_Sign In""))",Chrome 117.0.0.0,,,2023-09-21 10:09:09,2023-09-21 10:09:12,2.529s,PASSED
"setText(findTestObject(""Object Repository/Signin/Page_FakeDoor/input_User Name_username""), ""admin2"")",Chrome 117.0.0.0,,,2023-09-21 10:09:12,2023-09-21 10:09:18,6.003s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Signin/Page_FakeDoor/input_Password_password""), ""Lm1Albv1LteQ2KmNJoEiNQ=="")",Chrome 117.0.0.0,,,2023-09-21 10:09:18,2023-09-21 10:09:22,4.457s,PASSED
"click(findTestObject(""Object Repository/Signin/Page_FakeDoor/button_Login""))",Chrome 117.0.0.0,,,2023-09-21 10:09:22,2023-09-21 10:09:25,2.395s,PASSED
"click(findTestObject(""Object Repository/Signin/Page_FakeDoor/img""))",Chrome 117.0.0.0,,,2023-09-21 10:09:25,2023-09-21 10:09:30,5.540s,PASSED
"click(findTestObject(""Object Repository/Signin/Page_FakeDoor/button_Sign Out""))",Chrome 117.0.0.0,,,2023-09-21 10:09:30,2023-09-21 10:09:33,2.836s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-21 10:09:33,2023-09-21 10:09:34,0.722s,PASSED
