Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Buttons,Chrome 117.0.0.0,,,2023-10-02 23:06:05,2023-10-02 23:08:16,2m - 10.983s,PASSED
,,,,,,,
Test Cases/Buttons/Overview,Chrome 117.0.0.0,,,2023-10-02 23:06:06,2023-10-02 23:07:05,59.936s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-02 23:06:06,2023-10-02 23:06:08,2.089s,PASSED
"navigateToUrl(""https://delightful-stone-07bb55f0f.3.azurestaticapps.net/"")",Chrome 117.0.0.0,,,2023-10-02 23:06:08,2023-10-02 23:06:10,2.688s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-02 23:06:10,2023-10-02 23:06:11,0.129s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Sign In""))",Chrome 117.0.0.0,,,2023-10-02 23:06:11,2023-10-02 23:06:11,0.491s,PASSED
"setText(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/input_User Name_username""), ""admin2"")",Chrome 117.0.0.0,,,2023-10-02 23:06:11,2023-10-02 23:06:13,1.802s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/input_Password_password""), ""Lm1Albv1LteQ2KmNJoEiNQ=="")",Chrome 117.0.0.0,,,2023-10-02 23:06:13,2023-10-02 23:06:13,0.503s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Login""))",Chrome 117.0.0.0,,,2023-10-02 23:06:13,2023-10-02 23:06:14,0.376s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/span_Overview""))",Chrome 117.0.0.0,,,2023-10-02 23:06:14,2023-10-02 23:06:17,2.806s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/p_Start Lesson""))",Chrome 117.0.0.0,,,2023-10-02 23:06:17,2023-10-02 23:06:20,3.267s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj""))",Chrome 117.0.0.0,,,2023-10-02 23:06:20,2023-10-02 23:06:21,0.926s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1""))",Chrome 117.0.0.0,,,2023-10-02 23:06:21,2023-10-02 23:06:24,2.903s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2""))",Chrome 117.0.0.0,,,2023-10-02 23:06:24,2023-10-02 23:06:27,2.923s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3""))",Chrome 117.0.0.0,,,2023-10-02 23:06:27,2023-10-02 23:06:30,2.923s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4""))",Chrome 117.0.0.0,,,2023-10-02 23:06:30,2023-10-02 23:06:32,2.938s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5""))",Chrome 117.0.0.0,,,2023-10-02 23:06:32,2023-10-02 23:06:39,6.070s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5_6""))",Chrome 117.0.0.0,,,2023-10-02 23:06:39,2023-10-02 23:06:42,3.172s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5_6_7""))",Chrome 117.0.0.0,,,2023-10-02 23:06:42,2023-10-02 23:06:45,2.949s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5_6_7_8""))",Chrome 117.0.0.0,,,2023-10-02 23:06:45,2023-10-02 23:06:48,2.921s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 23:06:48,2023-10-02 23:06:48,0.893s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 23:06:48,2023-10-02 23:06:49,0.598s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 23:06:49,2023-10-02 23:06:50,0.636s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 23:06:50,2023-10-02 23:06:50,0.539s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 23:06:50,2023-10-02 23:06:53,3.062s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 23:06:53,2023-10-02 23:06:54,1.071s,PASSED
